mol_id,smiles,n_heavy_atoms,n_rotatable,openconf_n_confs,openconf_time_sec,openconf_min_rmsd,openconf_success,etkdg_n_confs,etkdg_time_sec,etkdg_min_rmsd,etkdg_success,crest_n_confs,crest_time_sec,crest_min_rmsd,crest_success
1a28,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23,4,68,2.243,0.1323,True,21,6.728,0.1323,True,,,,
1ai5,O=C([O-])Cc1cccc([N+](=O)[O-])c1,13,3,74,0.358,0.3751,True,9,0.195,0.3752,True,,,,
1azm,CC(=O)Nc1nnc(S(N)(=O)=O)s1,13,5,103,0.372,0.5534,True,8,0.248,0.8029,True,,,,
1b9v,CCC(CC)Nc1cc(C(=O)[O-])ccc1N1C(=O)CCC1(CO)CO,25,12,174,1.837,0.4432,True,104,5.430,0.6124,True,,,,
1br6,Nc1nc2ncc(CNc3ccc(C(=O)[O-])cc3)nc2c(=O)[nH]1,23,5,160,0.993,1.2816,True,6,1.059,1.1113,True,,,,
1c1b,CCOCn1c(Cc2cc(C)cc(C)c2)c(C(C)C)c(=O)[nH]c1=O,24,11,197,1.822,0.3490,True,45,3.872,0.4379,True,,,,
1ctr,C[N@H+]1CC[N@H+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,28,6,200,2.690,0.7511,True,86,8.155,0.7050,True,,,,
1cvu,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],22,15,200,2.886,1.3753,True,199,9.890,1.3730,True,,,,
1cx2,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1,26,5,19,0.881,0.4345,True,8,1.300,0.4509,True,,,,
1d3h,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,19,6,172,0.682,0.3106,True,5,0.813,0.3108,True,,,,
1dd7,COC(=O)N1CCN(c2ccnc(-n3ccnc3)n2)[C@@H](CC(=O)NCc2ccc3c(c2)OCO3)C1,35,10,200,4.461,0.4674,True,161,13.953,1.0616,True,,,,
1dds,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1,33,13,200,3.297,0.7681,True,82,8.434,1.2885,True,,,,
1eoc,O=[N+]([O-])c1ccc([O-])c(O)c1,11,2,2,0.226,0.0445,True,1,0.091,0.0445,True,,,,
1exa,CC1(C)CCC(C)(C)c2cc([C@@H](O)C(=O)Nc3ccc(C(=O)[O-])cc3F)ccc21,29,10,200,3.290,0.8390,True,40,6.448,0.8334,True,,,,
1ezq,COC(=O)[C@H](Cc1cccc(C(N)=[NH2+])c1)[C@@H](C)NC(=O)c1ccc(-c2cccc(C[NH3+])c2)cc1,34,15,200,5.440,0.9775,True,146,17.044,1.0582,True,,,,
1f0s,O=C1[C@@H](NS(=O)(=O)c2cc3ncccc3s2)CCN1Cc1cc2ccncc2[nH]1,29,5,200,2.598,0.6278,True,74,5.732,0.7363,True,,,,
1f0t,NC(=[NH2+])c1ccc(O)c(CN2CC[C@H](NS(=O)(=O)c3cc4ncccc4s3)C2=O)c1,30,8,200,3.085,1.3999,True,94,7.497,1.4548,True,,,,
1f0u,COC(=O)[C@H](Cc1cccc(C(N)=[NH2+])c1)[C@@H](C)NC(=O)c1ccc(-c2cccc(C[NH3+])c2)cc1,34,15,200,5.185,0.9656,True,142,16.972,1.0143,True,,,,
1fcx,CC1(C)CCC(C)(C)c2cc([C@@H](O)c3ccc4cc(C(=O)[O-])ccc4c3)ccc21,29,8,145,2.883,0.4157,True,23,7.294,0.4163,True,,,,
1fcz,CC1(C)CCC(C)(C)c2cc(C(=O)/C=C/c3ccc(C(=O)[O-])cc3)ccc21,27,8,63,2.012,0.3878,True,6,4.076,0.5021,True,,,,
1fh8,O[C@@H]1[C@@H](O)[C@H](O[C@@H]2CC[NH2+]C[C@H]2O)OC[C@H]1O,17,6,108,0.857,0.5791,True,33,2.130,0.7198,True,,,,
1fh9,O/[NH+]=C1\NC[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,20,8,200,1.406,0.4136,True,44,2.878,0.4807,True,,,,
1fhd,O[C@@H]1[C@@H](O)[C@H](O[C@@H]2Cn3ccnc3[C@H](O)[C@H]2O)OC[C@H]1O,21,7,135,1.075,0.3204,True,45,3.033,0.5491,True,,,,
1fjs,CN1CCN=C1c1cccc(Oc2[nH+]c(Oc3cc(C(N)=[NH2+])ccc3O)c(F)c(N(C)CC(=O)[O-])c2F)c1,38,13,200,4.825,2.4704,True,169,15.267,2.4368,True,,,,
1fl3,O=C([O-])CCCC(=O)Nc1ccc(/C=C/c2ccccc2)cc1,23,8,200,1.868,0.7106,True,35,2.420,0.7109,True,,,,
1fm6,CN(CCOc1ccc(C[C@@H]2SC(=O)[N-]C2=O)cc1)c1ccccn1,25,8,200,2.480,0.8374,True,177,5.564,0.8669,True,,,,
