mol_id,smiles,n_heavy_atoms,n_rotatable,openconf_25_rmsd,openconf_25_time,openconf_25_n,etkdg_25_rmsd,etkdg_25_time,etkdg_25_n,openconf_50_rmsd,openconf_50_time,openconf_50_n,etkdg_50_rmsd,etkdg_50_time,etkdg_50_n,openconf_100_rmsd,openconf_100_time,openconf_100_n,etkdg_100_rmsd,etkdg_100_time,etkdg_100_n,openconf_200_rmsd,openconf_200_time,openconf_200_n,etkdg_200_rmsd,etkdg_200_time,etkdg_200_n,openconf_400_rmsd,openconf_400_time,openconf_400_n,etkdg_400_rmsd,etkdg_400_time,etkdg_400_n
1a28,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23,4,0.1323,0.688,25,0.1323,1.040,11,0.1323,0.701,32,0.1323,1.854,12,0.1323,1.282,44,0.1323,4.256,17,0.1323,2.552,40,0.1323,7.216,21,0.1323,3.681,56,0.1323,14.493,19
1ai5,O=C([O-])Cc1cccc([N+](=O)[O-])c1,13,3,0.3752,0.107,25,0.3752,0.035,5,0.3752,0.126,50,0.3752,0.054,5,0.3752,0.257,100,0.3752,0.100,6,0.3752,0.447,150,0.3752,0.199,7,0.3750,0.926,192,0.3752,0.365,9
1azm,CC(=O)Nc1nnc(S(N)(=O)=O)s1,13,5,0.5534,0.107,25,0.5547,0.048,8,0.5534,0.128,50,0.5515,0.073,8,0.5534,0.211,85,0.5515,0.131,8,0.5534,0.420,104,0.5547,0.247,8,0.5534,0.799,135,0.5580,0.465,8
1b9v,CCC(CC)Nc1cc(C(=O)[O-])ccc1N1C(=O)CCC1(CO)CO,25,12,0.8384,0.377,25,0.8818,0.830,21,0.4845,0.518,50,0.5916,1.666,40,0.4494,1.099,100,0.7388,2.865,57,0.3035,2.293,200,0.6440,5.815,104,0.1831,3.172,239,0.1687,9.739,131
1br6,Nc1nc2ncc(CNc3ccc(C(=O)[O-])cc3)nc2c(=O)[nH]1,23,5,1.2816,0.232,25,1.3760,0.154,4,1.2816,0.300,50,0.9522,0.292,6,1.2816,0.573,100,1.1113,0.550,5,1.2816,1.266,200,1.1114,1.066,6,1.2816,2.464,338,1.1114,2.127,6
1c1b,CCOCn1c(Cc2cc(C)cc(C)c2)c(C(C)C)c(=O)[nH]c1=O,24,11,0.4724,0.393,25,0.4629,0.768,19,0.4320,0.577,50,0.4657,1.289,27,0.3490,1.053,100,0.4568,2.283,39,0.3478,2.059,200,0.4334,4.050,46,0.3514,3.651,360,0.4379,7.605,68
1ctr,C[N@H+]1CC[N@H+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,28,6,1.2582,0.526,25,0.7060,1.327,22,0.8290,0.725,50,0.8047,2.308,32,0.7052,1.429,100,0.7051,4.483,63,0.7053,3.197,200,0.7044,8.095,83,0.7048,4.969,351,0.7886,16.289,136
1cvu,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],22,15,1.6118,0.589,25,1.5258,1.268,25,1.7329,0.828,50,1.6691,2.478,50,1.5513,1.422,100,1.3997,5.030,100,1.5660,3.381,200,1.2683,10.259,199,1.4816,6.894,400,1.3047,20.975,399
1cx2,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1,26,5,0.4362,0.442,11,0.4345,0.217,5,0.4345,0.340,19,0.4346,0.453,7,0.4362,0.640,16,0.4345,1.019,8,0.4345,1.030,19,0.4346,1.675,8,0.4345,1.679,27,0.4509,2.623,8
1d3h,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,19,6,0.3105,0.211,25,0.3106,0.114,4,0.3106,0.219,46,0.3106,0.220,5,0.3105,0.422,82,0.3106,0.345,5,0.3105,0.794,161,0.4598,0.657,5,0.3105,1.569,252,0.3106,1.344,5
